class_path,version31cbo,version32cbo,version33cbo,version34cbo,version31lcom,version32lcom,version33lcom,version34lcom
terms_of_service_screen.cc,0,0,0,0,0,0,0,0
popup_message.cc,0,0,0,0,0,0,0,0
tab_android.cc,2,2,2,1,0,0,0,1
one_click_signin_bubble_gtk.cc,1,1,1,1,0,0,0,0
chrome_web_contents_view_delegate_gtk.cc,2,2,2,2,0,0,0,0
window_manager_unittest.cc,2,2,2,2,1,1,1,1
native_app_window_gtk.cc,2,2,2,2,0,0,0,0
import_data_handler.cc,0,0,0,0,0,0,0,0
download_completion_blocker.cc,1,1,1,1,0,0,0,0
testing_automation_provider_chromeos.cc,5,5,5,5,1,1,1,1
testing_browser_process_platform_part.cc,1,1,1,1,0,0,0,0
suggest_permission_util.cc,1,1,1,1,0,0,0,0
extension_fullscreen_apitest.cc,0,0,0,0,4,4,4,4
extension_icon_manager.cc,1,1,1,1,1,1,1,1
theme_installed_infobar_delegate.cc,1,1,1,1,0,0,0,0
render_process_host_chrome_browsertest.cc,6,6,6,6,9,9,9,9
process_info_win.cc,0,0,0,0,0,0,0,0
browser_list.cc,3,3,3,3,1,1,1,0
browser_actions_container_browsertest.cc,2,2,2,2,3,3,3,3
shelf_alignment_menu.cc,0,0,0,0,0,0,0,0
app_shim_handler_mac.cc,0,0,0,0,0,0,0,0
wizard_controller_browsertest.cc,0,0,0,0,1,1,1,1
tray_bar_button_with_title.cc,0,0,0,0,0,0,0,0
memory_purger.cc,4,4,4,4,0,0,0,0
http_server_properties_manager_unittest.cc,0,0,0,0,0,0,0,0
standard_management_policy_provider_unittest.cc,0,0,0,0,0,0,0,0
profiles_state.cc,0,0,0,0,0,0,0,0
signed_in_devices_manager.cc,1,1,1,1,0,0,0,0
message_pump_default.cc,0,0,0,0,0,0,0,0
layer_tree_host_impl.cc,0,0,0,0,2,2,4,4
usb_interface.cc,4,4,4,4,0,0,0,0
leveldb_settings_storage_factory.cc,0,0,0,0,0,0,0,0
chrome_notifier_service_unittest.cc,4,4,4,4,3,3,3,2
copy_output_result.cc,0,0,0,0,0,0,0,0
launcher_item_controller.cc,1,1,1,1,0,0,0,0
extension_page_actions_api_constants.cc,0,0,0,0,0,0,0,0
platform_util_linux.cc,0,0,0,0,4,4,4,4
connect_interceptor.cc,0,0,0,0,0,0,0,0
window_open_apitest.cc,3,3,3,3,22,23,23,23
capabilities.cc,1,1,1,1,14,14,14,14
thread_checker_impl.cc,0,0,0,0,0,0,0,0
location_bar_view_gtk_browsertest.cc,1,1,1,1,9,9,9,9
panel_window_resizer.cc,0,0,0,0,0,0,0,0
rand_util_posix.cc,2,2,2,2,0,0,0,0
extension_manifests_contentsecuritypolicy_unittest.cc,1,1,1,1,1,1,1,1
visitsegment_database.cc,0,0,0,0,0,0,0,0
usb_device_permission.cc,0,0,0,0,0,0,0,0
stream_video_draw_quad.cc,0,0,0,0,0,0,0,0
md5_unittest.cc,0,0,0,0,0,0,0,0
native_media_file_util.cc,1,1,1,1,2,2,2,2
notification_resource_provider.cc,0,0,0,0,0,0,0,0
fast_show_pickler_unittest.cc,2,2,3,3,7,7,5,5
in_memory_url_index_unittest.cc,0,0,0,0,0,0,0,2
layer_tree_pixel_test.cc,0,0,0,1,0,0,0,0
renderer_net_predictor.cc,2,2,2,2,0,0,0,0
download_status_updater_win.cc,1,1,1,1,2,2,2,2
external_pref_loader.cc,1,1,1,1,2,2,2,2
bookmark_context_menu_controller.cc,2,2,2,2,3,3,3,2
system_modal_container_layout_manager.cc,0,0,0,0,0,0,0,0
stacking_controller.cc,0,0,0,0,0,0,0,0
mock_browsing_data_indexed_db_helper.cc,1,1,1,1,0,0,0,0
direct_renderer.cc,0,0,0,0,2,2,2,2
dock_info_gtk.cc,4,4,4,4,0,0,0,0
base_paths_posix.cc,0,0,0,0,0,0,0,0
bluetooth_apitest.cc,6,6,6,6,17,17,17,17
tray_display.cc,0,0,0,0,0,0,0,0
ping_manager_unittest.cc,3,3,3,3,2,2,2,2
window_controller_list.cc,0,0,0,0,0,0,0,0
javascript_dialog_manager.cc,3,3,5,5,2,2,5,5
javascript_dialog_manager.cc,3,1,5,5,2,0,5,5
javascript_dialog_manager.cc,3,3,5,1,2,2,5,0
javascript_dialog_manager.cc,3,1,5,1,2,0,5,0
javascript_dialog_manager.cc,1,3,5,5,0,2,5,5
javascript_dialog_manager.cc,1,1,5,5,0,0,5,5
javascript_dialog_manager.cc,1,3,5,1,0,2,5,0
javascript_dialog_manager.cc,1,1,5,1,0,0,5,0
print_preview_handler.cc,5,6,15,14,8,11,22,20
create_file_operation_unittest.cc,0,0,0,0,0,0,0,0
managed_bookmarks_shim.cc,2,2,2,2,0,0,0,0
private_api_misc.cc,0,0,0,0,0,0,0,0
platform_verification_flow.cc,0,0,0,0,2,2,2,2
chrome_download_manager_delegate.cc,6,6,6,6,3,3,5,5
tab_modal_confirm_dialog_browsertest.cc,2,2,2,2,7,7,7,7
panel_resize_controller.cc,1,1,1,1,4,4,4,4
websocket_browsertest.cc,1,1,1,1,2,2,2,2
url_util.cc,0,0,0,0,0,0,0,0
url_util.cc,0,0,0,0,0,0,0,0
url_util.cc,0,0,0,0,0,0,0,0
url_util.cc,0,0,0,0,0,0,0,0
url_util.cc,0,0,0,0,0,0,0,0
url_util.cc,0,0,0,0,0,0,0,0
url_util.cc,0,0,0,0,0,0,0,0
url_util.cc,0,0,0,0,0,0,0,0
diagnostics_model.cc,0,0,0,0,0,0,0,0
automation_constants.cc,0,0,0,0,0,0,0,0
prerender_history.cc,0,0,0,0,0,0,0,0
global_error_service.cc,1,1,1,1,0,0,0,0
gl_string_manager.cc,1,1,1,1,0,0,0,0
login_prompt_gtk.cc,3,3,3,3,0,0,0,0
account_chooser_model.cc,0,0,0,0,0,0,0,0
event_trace_controller_unittest.cc,0,0,0,0,0,0,0,0
accelerator_utils_views.cc,0,0,0,0,0,0,0,0
blocked_window_params.cc,1,1,1,1,0,0,0,0
ad_view_browsertest.cc,3,3,3,2,11,11,11,3
logging_native_handler.cc,0,0,0,0,0,0,0,0
downloads_dom_handler.cc,2,2,2,2,5,5,5,4
notification_object_proxy.cc,2,2,2,2,0,0,0,0
process_singleton_dialog.cc,1,1,1,1,0,0,1,1
firefox_proxy_settings.cc,1,1,1,1,3,3,3,3
duplicate_tree_detector_unittest.cc,1,1,1,1,6,6,6,6
website_settings_infobar_delegate.cc,1,1,1,1,0,0,0,0
profile_list_chromeos.cc,1,1,1,1,0,0,0,0
login_manager_test.cc,0,0,0,0,0,0,0,0
preconnect.cc,0,0,0,0,0,0,0,0
icon_loader_android.cc,1,1,1,1,0,0,0,0
download_protection_util.cc,0,0,0,0,0,0,0,0
pixel_test_utils.cc,0,0,0,0,0,0,0,0
create_dir_work_item.cc,1,1,1,1,0,0,0,0
testing_value_store.cc,1,1,1,1,0,0,0,0
scoped_ui_resource.cc,0,0,0,0,0,0,0,0
website_settings_unittest.cc,3,3,3,3,15,15,15,15
fullscreen_controller.cc,4,4,4,4,2,2,2,1
user_image_manager_browsertest.cc,0,0,0,0,0,0,0,0
extension_manifests_background_unittest.cc,0,0,0,0,0,0,0,0
processes_api_constants.cc,0,0,0,0,0,0,0,0
notification_promo_mobile_ntp.cc,1,1,1,1,0,0,0,0
external_protocol_observer.cc,2,2,2,2,1,1,1,1
json_asynchronous_unpacker.cc,3,3,3,3,0,0,0,0
chrome_render_view_host_test_harness.cc,1,1,1,1,1,1,1,1
browsing_data_indexed_db_helper.cc,3,3,3,2,0,0,0,0
display_layout_store.cc,0,0,0,0,0,0,0,0
cc_test_suite.cc,0,0,0,0,0,0,0,0
system_indicator_manager_factory.cc,0,0,0,0,0,0,0,0
phishing_classifier_browsertest.cc,0,0,0,0,2,2,2,2
dev_tools_server.cc,2,8,8,8,5,6,6,6
mock_error_screen.cc,0,0,0,0,0,0,0,0
dial_device_data_unittest.cc,0,0,0,0,0,0,0,0
autocomplete_action_predictor_unittest.cc,1,1,1,1,2,2,2,3
template_url.cc,2,2,2,2,4,5,5,5
first_run.cc,3,3,3,0,10,11,12,0
first_run.cc,3,3,3,3,10,11,12,10
delegated_renderer_layer.cc,0,0,0,0,0,0,0,0
in_memory_url_index_types.cc,0,0,0,0,0,0,0,0
brightness_controller_chromeos.cc,1,0,0,0,0,0,0,0
prerender_unittest.cc,3,3,3,3,0,0,0,0
jni_registrar.cc,0,0,0,0,0,0,0,0
alarm_manager.cc,0,0,0,0,0,0,0,0
device_id_mac.cc,0,0,0,2,3,3,3,5
extension_function_test_utils.cc,4,4,4,4,0,0,0,0
search_engines_helper.cc,0,0,0,0,6,6,6,6
message_center_notifications_browsertest.cc,2,2,2,2,10,10,10,10
exit_warning_handler.cc,0,0,0,0,0,0,0,0
drag_download_item_views.cc,0,0,0,0,1,1,1,1
uma_policy_browsertest.cc,2,2,2,2,6,6,6,6
drive_integration_service_unittest.cc,0,0,0,0,0,0,0,0
extension_url_rewrite_browsertest.cc,3,2,2,2,5,5,5,5
app_search_provider.cc,0,0,0,1,0,0,0,0
windows_version.cc,0,0,0,0,0,0,0,0
template_url_fetcher_factory.cc,1,1,1,1,0,0,0,0
